"date","home.team","home.score","away.team","away.score"
"2018-04-01","Werder Bremen",2,"Ein Frankfurt",1
"2018-04-06","Hannover",2,"Werder Bremen",1
"2018-04-07","Augsburg",1,"Bayern Munich",4
"2018-04-07","FC Koln",1,"Mainz",1
"2018-04-07","Freiburg",0,"Wolfsburg",2
"2018-04-07","Hamburg",3,"Schalke 04",2
"2018-04-07","M'gladbach",2,"Hertha",1
"2018-04-08","Dortmund",3,"Stuttgart",0
"2018-04-08","Ein Frankfurt",1,"Hoffenheim",1
"2018-04-09","RB Leipzig",1,"Leverkusen",4
"2018-04-13","Wolfsburg",0,"Augsburg",0
"2018-04-14","Bayern Munich",5,"M'gladbach",1
"2018-04-14","Hertha",2,"FC Koln",1
"2018-04-14","Hoffenheim",2,"Hamburg",0
"2018-04-14","Leverkusen",4,"Ein Frankfurt",1
"2018-04-14","Stuttgart",1,"Hannover",1
"2018-04-15","Schalke 04",2,"Dortmund",0
"2018-04-15","Werder Bremen",1,"RB Leipzig",1
"2018-04-16","Mainz",2,"Freiburg",0
"2018-04-20","M'gladbach",3,"Wolfsburg",0
"2018-04-21","Dortmund",4,"Leverkusen",0
"2018-04-21","Ein Frankfurt",0,"Hertha",3
"2018-04-21","Hamburg",1,"Freiburg",0
"2018-04-21","Hannover",0,"Bayern Munich",3
"2018-04-21","RB Leipzig",2,"Hoffenheim",5
"2018-04-21","Stuttgart",2,"Werder Bremen",0
"2018-04-22","Augsburg",2,"Mainz",0
"2018-04-22","FC Koln",2,"Schalke 04",2
"2018-04-27","Hoffenheim",3,"Hannover",1
"2018-04-28","Bayern Munich",4,"Ein Frankfurt",1
"2018-04-28","Freiburg",3,"FC Koln",2
"2018-04-28","Hertha",2,"Augsburg",2
"2018-04-28","Leverkusen",0,"Stuttgart",1
"2018-04-28","Schalke 04",1,"M'gladbach",1
"2018-04-28","Wolfsburg",1,"Hamburg",3
"2018-04-29","Mainz",3,"RB Leipzig",0
"2018-04-29","Werder Bremen",1,"Dortmund",1
"2018-05-05","Augsburg",1,"Schalke 04",2
"2018-05-05","Dortmund",1,"Mainz",2
"2018-05-05","Ein Frankfurt",3,"Hamburg",0
"2018-05-05","FC Koln",1,"Bayern Munich",3
"2018-05-05","Hannover",3,"Hertha",1
"2018-05-05","M'gladbach",3,"Freiburg",1
"2018-05-05","RB Leipzig",4,"Wolfsburg",1
"2018-05-05","Stuttgart",2,"Hoffenheim",0
"2018-05-05","Werder Bremen",0,"Leverkusen",0
"2018-05-12","Bayern Munich",1,"Stuttgart",4
"2018-05-12","Freiburg",2,"Augsburg",0
"2018-05-12","Hamburg",2,"M'gladbach",1
"2018-05-12","Hertha",2,"RB Leipzig",6
"2018-05-12","Hoffenheim",3,"Dortmund",1
"2018-05-12","Leverkusen",3,"Hannover",2
"2018-05-12","Mainz",1,"Werder Bremen",2
"2018-05-12","Schalke 04",1,"Ein Frankfurt",0
"2018-05-12","Wolfsburg",4,"FC Koln",1
"2018-08-24","Bayern Munich",3,"Hoffenheim",1
"2018-08-25","Fortuna Dusseldorf",1,"Augsburg",2
"2018-08-25","Freiburg",0,"Ein Frankfurt",2
"2018-08-25","Hertha",1,"Nurnberg",0
"2018-08-25","M'gladbach",2,"Leverkusen",0
"2018-08-25","Werder Bremen",1,"Hannover",1
"2018-08-25","Wolfsburg",2,"Schalke 04",1
"2018-08-26","Dortmund",4,"RB Leipzig",1
"2018-08-26","Mainz",1,"Stuttgart",0
"2018-08-31","Hannover",0,"Dortmund",0
"2018-09-01","Augsburg",1,"M'gladbach",1
"2018-09-01","Ein Frankfurt",1,"Werder Bremen",2
"2018-09-01","Hoffenheim",3,"Freiburg",1
"2018-09-01","Leverkusen",1,"Wolfsburg",3
"2018-09-01","Nurnberg",1,"Mainz",1
"2018-09-01","Stuttgart",0,"Bayern Munich",3
"2018-09-02","RB Leipzig",1,"Fortuna Dusseldorf",1
"2018-09-02","Schalke 04",0,"Hertha",2
"2018-09-14","Dortmund",3,"Ein Frankfurt",1
"2018-09-15","Bayern Munich",3,"Leverkusen",1
"2018-09-15","Fortuna Dusseldorf",2,"Hoffenheim",1
"2018-09-15","Mainz",2,"Augsburg",1
"2018-09-15","M'gladbach",2,"Schalke 04",1
"2018-09-15","RB Leipzig",3,"Hannover",2
"2018-09-15","Wolfsburg",2,"Hertha",2
"2018-09-16","Freiburg",3,"Stuttgart",3
"2018-09-16","Werder Bremen",1,"Nurnberg",1
"2018-09-21","Stuttgart",0,"Fortuna Dusseldorf",0
"2018-09-22","Augsburg",2,"Werder Bremen",3
"2018-09-22","Hertha",4,"M'gladbach",2
"2018-09-22","Hoffenheim",1,"Dortmund",1
"2018-09-22","Nurnberg",2,"Hannover",0
"2018-09-22","Schalke 04",0,"Bayern Munich",2
"2018-09-22","Wolfsburg",1,"Freiburg",3
"2018-09-23","Ein Frankfurt",1,"RB Leipzig",1
"2018-09-23","Leverkusen",1,"Mainz",0
"2018-09-25","Bayern Munich",1,"Augsburg",1
"2018-09-25","Freiburg",1,"Schalke 04",0
"2018-09-25","Hannover",1,"Hoffenheim",3
"2018-09-25","Werder Bremen",3,"Hertha",1
"2018-09-26","Dortmund",7,"Nurnberg",0
"2018-09-26","Fortuna Dusseldorf",1,"Leverkusen",2
"2018-09-26","Mainz",0,"Wolfsburg",0
"2018-09-26","M'gladbach",3,"Ein Frankfurt",1
"2018-09-26","RB Leipzig",2,"Stuttgart",0
"2018-09-28","Hertha",2,"Bayern Munich",0
"2018-09-29","Hoffenheim",1,"RB Leipzig",2
"2018-09-29","Leverkusen",2,"Dortmund",4
"2018-09-29","Nurnberg",3,"Fortuna Dusseldorf",0
"2018-09-29","Schalke 04",1,"Mainz",0
"2018-09-29","Stuttgart",2,"Werder Bremen",1
"2018-09-29","Wolfsburg",2,"M'gladbach",2
"2018-09-30","Augsburg",4,"Freiburg",1
